SSI;4POW;MAV;WL;ACC;IEMG;RMS;VAR;DASDV;Target_Class
10782441,264219629;455942301949,7407;145,15838532378393;53111,85456557894;118,81846658966207;65030,9566250552;155,13848410529943;24121,79253740409;165,4337632297132;Class 1
22254850,783202644;1773722656674,5022;166,38281718353826;88240,90245397275;135,96441056082088;108148,83116929987;185,03575863642658;34290,987339295294;184,53786654625534;Class 1
14630714,846794752;1200772201656,3547;157,47027594949932;56758,04304074783;120,76179370371878;74168,49997221418;176,247237841329;31129,180525095217;174,55217811562974;Class 1
13807175,627457634;1249170759125,6565;163,90497000639158;51285,14671236492;128,2128667809123;65725,89297256303;185,55823727362213;34517,93906864408;177,48739968479202;Class 1
17843544,125331268;1669521506160,165;170,16140105661992;67284,59940392029;140,46889228375844;81677,47250717756;192,80573191974042;37251,65788169367;190,66938969746644;Class 1
2174491,4259216646;44289000044,120384;109,03705635090132;13434,85820196385;81,42338304220516;18100,151354249618;114,45237410943967;13178,735914676756;116,00662023742197;Class 2
804790,019278151;12098520147,091852;102,90194667510431;5811,980154769278;83,0282879252754;7306,038213932406;106,46628900294432;11497,000275402157;116,99647909997074;Class 2
4316485,932514198;237179751942,8767;124,32104826679496;23111,734964682775;104,10691425532781;27723,593763495275;139,1274205872318;19443,63032664053;141,98014708921534;Class 2
4589790,088234941;293628498966,4774;145,18904254554792;22199,734885216658;126,85562791552375;25553,271488016435;161,48793383427184;26227,37193277109;170,29074340240027;Class 3
3392806,0388908484;211055585572,33704;142,73030409531225;17100,207983900647;126,66820728815294;19411,321356962468;157,9465201488738;25131,896584376656;168,34224128823166;Class 3
3863747,665710588;342590100268,33026;162,43759243599968;14763,918767846977;130,65414838802636;18517,885537703965;184,09922157202678;34192,457218677766;176,36882775254267;Class 3
2149519,6235154513;98308874315,24243;143,91565396653857;9455,399972019888;108,68275829907917;12664,577549055393;156,28934499232545;24707,122109373002;146,01482715468634;Class 3
1599722,790052443;71011565918,89348;130,436173179608;7868,3067075290965;100,8757270196038;10304,457681189033;142,30128449976863;20509,266539133885;136,52249045944228;Class 3
4857372,664325658;432795346956,49524;151,6310318076635;20204,891193793464;124,721550578972;24715,85818464915;172,62627927542326;29983,781878553444;178,02798367980773;Class 3
7894536,909703867;721789567179,125;172,78527518329764;27297,46523875826;131,87181274762443;35939,33723812591;194,81915812767562;38137,85946716843;184,5916947425596;Class 3
33403810,352862824;2739089628678,325;168,34985462404853;145709,48861331382;154,02694356587085;159427,31232897396;187,81186061370977;35310,581768353935;208,00248902569263;Class 1
48350438,05383485;4717512285209,025;191,78838358155804;183176,90639324675;173,46297953905943;202720,32144570685;213,8763249154796;45786,39967219209;233,2728697923887;Class 1
52253921,01395345;4896746568630,296;185,06635303651728;210332,1657268271;172,2622159924874;226151,0834106241;206,7872888416399;42796,00410643198;231,32924172623052;Class 1
41526695,51275329;4206586151379,4844;187,68088215065183;147630,47661156364;157,8935578733301;175669,3056930101;210,6326842742253;44413,5780885062;216,52030565650125;Class 1
32468559,85898179;3466741102599,8696;180,3354119904076;110829,59036855568;143,74784743003332;139218,93805659466;205,07978941033613;42112,269596604136;199,40501596977455;Class 1
39093443,370931625;4071108506704,9688;192,59754680358884;142718,86520190106;170,30890835549053;161589,34176821104;215,85940821087354;46650,88707748404;229,76778728757495;Class 1
28007560,40165247;2526672049742,66;172,32442603264423;108623,76018452384;145,80370494566958;128554,02182035259;193,76182970597867;37594,040807587204;203,69728372284916;Class 1
11288045,936595611;510749314221,3994;128,13971639857212;54047,3659652146;95,49004587493745;72655,2191979904;141,0970242724702;19943,544057589417;131,67297192828988;Class 2
2547617,682978358;41781968769,62573;102,07753882679803;18396,969571536556;82,12932844435961;22967,44623602956;106,40838903809038;11373,293227581955;114,39570417507781;Class 2
1974206,2299590267;24763508503,163345;95,60687458187546;14816,32746207581;72,98683478855078;19503,802414702594;98,37419132784267;9725,153842162694;107,40103961717618;Class 2
4244978,404768532;88923108021,57632;104,86620519143214;27915,920272791238;80,4493379619344;36493,43940661839;110,44552415922578;12233,36716071623;115,13964716154126;Class 2
1692060,5757519412;20675350358,279102;95,45564614993314;13863,827244109152;79,22186996633802;16800,193722388234;98,05090792055482;9668,917575725378;111,05480231146561;Class 2
843719,1479610642;9476473371,878983;91,05797653093238;6592,928879822744;68,67634249815359;8832,623723500441;93,26379547278972;8788,741124594419;102,30554740506676;Class 2
11288045,936595611;510749314221,3994;128,13971639857212;54047,3659652146;95,49004587493745;72655,2191979904;141,0970242724702;19943,544057589417;131,67297192828988;Class 2
2547617,682978358;41781968769,62573;102,07753882679803;18396,969571536556;82,12932844435961;22967,44623602956;106,40838903809038;11373,293227581955;114,39570417507781;Class 2
1974206,2299590267;24763508503,163345;95,60687458187546;14816,32746207581;72,98683478855078;19503,802414702594;98,37419132784267;9725,153842162694;107,40103961717618;Class 2
4244978,404768532;88923108021,57632;104,86620519143214;27915,920272791238;80,4493379619344;36493,43940661839;110,44552415922578;12233,36716071623;115,13964716154126;Class 2
1692060,5757519412;20675350358,279102;95,45564614993314;13863,827244109152;79,22186996633802;16800,193722388234;98,05090792055482;9668,917575725378;111,05480231146561;Class 2
843719,1479610642;9476473371,878983;91,05797653093238;6592,928879822744;68,67634249815359;8832,623723500441;93,26379547278972;8788,741124594419;102,30554740506676;Class 2
2296232,5089533823;30875589212,74474;68,6588456159499;25308,3200375358;62,48967910502666;27875,49132007566;75,20468799180202;5669,709898650326;82,34344163760332;Class 3
4274069,307535149;73298263806,88136;78,68902432785696;39004,57257394091;68,67002213721992;44774,05484255061;86,66917188914;7524,769907632305;92,35293824169929;Class 3
2946627,248229193;38331887192,92639;74,31797692367891;28739,118394320976;64,00694519893312;33443,08961565551;80,92008744199693;6562,644205410229;89,01479537928029;Class 3
3142625,9991696114;35522205955,074684;73,65890848372989;29644,08218003077;59,28816436006154;36903,113150348676;79,20042035979914;6285,251998339223;81,40602106898086;Class 3
2559814,9591143536;29307899325,193203;70,99128085156663;25702,108826136668;58,94979088563456;31023,18973213462;76,53561350948407;5871,135227326499;80,6464962089349;Class 3
1443303,8326544724;14269924238,93079;68,25672024277175;14351,906817861382;53,352813449298814;18429,31446554837;73,11340335788042;5365,441757079823;74,0278873318707;Class 3
2102306,1243213;24202731346,53711;67,86175865399225;20622,475571131406;53,15071023487476;26398,22411640299;73,51452865730107;5418,314753405412;75,58964889440783;Class 3
15591225,136123627;1022827634305,4316;166,612643206577;63492,96309453919;134,2345942802097;78974,3928799175;181,36394358861986;32962,421006603865;187,28792807906856;Class 1
20346827,909463976;1583402714759,5078;179,90610221758942;77597,04053722863;148,93865746109142;93910,98535758168;197,42998132935324;39053,4124941727;197,47753862216038;Class 1
22340252,121176243;2392262509296,974;185,0580736094263;77330,20967987472;150,74114947344;95119,84983524511;208,47907695397214;43548,249748881564;205,19193204718292;Class 1
22570039,438790884;1876294449062,1147;179,38215139768445;84819,42449848025;145,98868244144623;104400,41211345236;196,92672874134644;38846,88371564696;199,61129504631685;Class 1
22579927,214631245;1720988172471,8752;172,49791812989676;82587,83346118989;131,92944642362602;108156,19466744526;189,7699741411593;36070,17126937898;181,52539547076424;Class 1
5008203,351044206;260050885344,3036;135,72835533522627;23020,768027563026;102,77128583733493;30538,879950425908;149,19343671957043;22358,05067430449;144,91278669312496;Class 2
5184188,737490015;225648427071,1048;129,2490833043776;24520,374012957807;95,04020935254964;33475,512575833796;141,47852392367432;20093,754796472927;135,38246777063688;Class 2
9120464,750701174;713218610945,9939;147,7861122780437;37706,8764614462;115,66526521916012;48326,05871492029;167,00697444372685;27976,885738347162;164,80254295038867;Class 2
